; Number of ROIs: 7
; File Dimension: 3340 x 1683
;
; ROI name: Water-reservior
; ROI rgb value: {0, 255, 255}
; ROI npts: 257
;
; ROI name: Water-Ocean
; ROI rgb value: {0, 0, 196}
; ROI npts: 27053
;
; ROI name: Urban
; ROI rgb value: {240, 155, 0}
; ROI npts: 398
;
; ROI name: Mountain ridge
; ROI rgb value: {36, 36, 36}
; ROI npts: 205
;
; ROI name: Vegetation
; ROI rgb value: {0, 255, 0}
; ROI npts: 32
;
; ROI name: Water-river
; ROI rgb value: {152, 107, 220}
; ROI npts: 90
;
; ROI name: Farmland
; ROI rgb value: {153, 99, 0}
; ROI npts: 36
;
; File X, File Y, Lat, Lon, B1, B2, B3, B4, B5, B6, B7
;
 648,  918,  22.60574901,  113.94230767,  0.035200,  0.056850,  0.037000,  0.044850,  0.014700,   0.095907,  0.506297
 649,  918,  22.60574901,  113.94257716,  0.034400,  0.057650,  0.036950,  0.046250,  0.014900,   0.111779,  0.512674
 647,  918,  22.60574901,  113.94203818,  0.033300,  0.055900,  0.034650,  0.041850,  0.015400,   0.094118,  0.462009
 645,  919,  22.60547952,  113.94149920,  0.036900,  0.056300,  0.035400,  0.038300,  0.019000,   0.039349,  0.336824
 646,  919,  22.60547952,  113.94176869,  0.036900,  0.056300,  0.035400,  0.038300,  0.019000,   0.039349,  0.336824
 647,  919,  22.60547952,  113.94203818,  0.033850,  0.055450,  0.033950,  0.037500,  0.017800,   0.049685,  0.356239
 648,  919,  22.60547952,  113.94230767,  0.034200,  0.055700,  0.034950,  0.041550,  0.017900,   0.086275,  0.397813
 649,  919,  22.60547952,  113.94257716,  0.032400,  0.055800,  0.035400,  0.041550,  0.017300,   0.079922,  0.412065
 650,  919,  22.60547952,  113.94284665,  0.032250,  0.056550,  0.035950,  0.037950,  0.015750,   0.027064,  0.413408
 651,  919,  22.60547952,  113.94311614,  0.032000,  0.056000,  0.035000,  0.036850,  0.014800,   0.025748,  0.426912
 652,  919,  22.60547952,  113.94338563,  0.032300,  0.055650,  0.033850,  0.038350,  0.015050,   0.062327,  0.436330
 643,  920,  22.60521003,  113.94096022,  0.041700,  0.060800,  0.043500,  0.052500,  0.019100,   0.093750,  0.466480
 644,  920,  22.60521003,  113.94122971,  0.040800,  0.056300,  0.038900,  0.048500,  0.019000,   0.109840,  0.437037
 645,  920,  22.60521003,  113.94149920,  0.036300,  0.055700,  0.034500,  0.038500,  0.019050,   0.054795,  0.337967
 646,  920,  22.60521003,  113.94176869,  0.034550,  0.055400,  0.034200,  0.037050,  0.018200,   0.040000,  0.341176
 647,  920,  22.60521003,  113.94203818,  0.034550,  0.055400,  0.034200,  0.037050,  0.018200,   0.040000,  0.341176
 648,  920,  22.60521003,  113.94230767,  0.035550,  0.055550,  0.034100,  0.040050,  0.018350,   0.080243,  0.371575
 649,  920,  22.60521003,  113.94257716,  0.032750,  0.055100,  0.033900,  0.039800,  0.017750,   0.080054,  0.383145
 650,  920,  22.60521003,  113.94284665,  0.032600,  0.055150,  0.034150,  0.038600,  0.015400,   0.061168,  0.429630
 651,  920,  22.60521003,  113.94311614,  0.033000,  0.055350,  0.034350,  0.038550,  0.015250,   0.057613,  0.433086
 652,  920,  22.60521003,  113.94338563,  0.033100,  0.055600,  0.033800,  0.040300,  0.014800,   0.087719,  0.462795
 653,  920,  22.60521003,  113.94365512,  0.033550,  0.056400,  0.034500,  0.041550,  0.014200,   0.092702,  0.490583
 654,  920,  22.60521003,  113.94392461,  0.033800,  0.057100,  0.035500,  0.041950,  0.014550,   0.083280,  0.484956
 644,  921,  22.60494054,  113.94122971,  0.038200,  0.056200,  0.036800,  0.043150,  0.018550,   0.079425,  0.398703
 645,  921,  22.60494054,  113.94149920,  0.035600,  0.055850,  0.034550,  0.042800,  0.019150,   0.106658,  0.381759
 646,  921,  22.60494054,  113.94176869,  0.033950,  0.055750,  0.034550,  0.042350,  0.016750,   0.101430,  0.433164
 647,  921,  22.60494054,  113.94203818,  0.033950,  0.055750,  0.034550,  0.042350,  0.016750,   0.101430,  0.433164
 648,  921,  22.60494054,  113.94230767,  0.035550,  0.055350,  0.034300,  0.042000,  0.018300,   0.100917,  0.393035
 649,  921,  22.60494054,  113.94257716,  0.032950,  0.055150,  0.033600,  0.040700,  0.015800,   0.095559,  0.440708
 650,  921,  22.60494054,  113.94284665,  0.033750,  0.054900,  0.033950,  0.042500,  0.014750,   0.111838,  0.484716
 651,  921,  22.60494054,  113.94311614,  0.033500,  0.055250,  0.033900,  0.042350,  0.014850,   0.110820,  0.480769
 652,  921,  22.60494054,  113.94338563,  0.033150,  0.055150,  0.034050,  0.041100,  0.014250,   0.093812,  0.485095
 653,  921,  22.60494054,  113.94365512,  0.034300,  0.055600,  0.034200,  0.041950,  0.013750,   0.101773,  0.506284
 654,  921,  22.60494054,  113.94392461,  0.039000,  0.057950,  0.037850,  0.040800,  0.013650,   0.037508,  0.498623
 655,  921,  22.60494054,  113.94419410,  0.038400,  0.059500,  0.038050,  0.038200,  0.013350,   0.001967,  0.482056
 656,  921,  22.60494054,  113.94446359,  0.039250,  0.060150,  0.040500,  0.037300,  0.012700,  -0.041131,  0.492000
 657,  921,  22.60494054,  113.94473308,  0.042300,  0.068300,  0.044600,  0.047850,  0.026000,   0.035154,  0.295870
 645,  922,  22.60467105,  113.94149920,  0.036350,  0.055700,  0.036050,  0.042450,  0.018350,   0.081529,  0.396382
 646,  922,  22.60467105,  113.94176869,  0.036050,  0.055650,  0.036200,  0.042250,  0.016250,   0.077119,  0.444444
 647,  922,  22.60467105,  113.94203818,  0.036050,  0.055650,  0.036200,  0.042250,  0.016250,   0.077119,  0.444444
 648,  922,  22.60467105,  113.94230767,  0.034250,  0.055300,  0.034200,  0.042250,  0.017050,   0.105298,  0.424958
 649,  922,  22.60467105,  113.94257716,  0.033000,  0.055150,  0.034150,  0.040350,  0.014650,   0.083221,  0.467273
 650,  922,  22.60467105,  113.94284665,  0.033750,  0.055100,  0.034100,  0.040850,  0.014600,   0.090060,  0.473399
 651,  922,  22.60467105,  113.94311614,  0.033250,  0.055300,  0.034200,  0.041350,  0.014600,   0.094639,  0.478105
 652,  922,  22.60467105,  113.94338563,  0.033250,  0.055500,  0.033900,  0.039750,  0.014000,   0.079430,  0.479070
 653,  922,  22.60467105,  113.94365512,  0.034750,  0.055900,  0.034700,  0.041550,  0.013350,   0.089836,  0.513661
 654,  922,  22.60467105,  113.94392461,  0.038850,  0.059800,  0.038450,  0.040650,  0.013300,   0.027813,  0.506951
 655,  922,  22.60467105,  113.94419410,  0.038900,  0.059900,  0.038200,  0.039350,  0.013100,   0.014829,  0.500477
 656,  922,  22.60467105,  113.94446359,  0.038850,  0.060250,  0.038100,  0.038300,  0.012550,   0.002618,  0.506391
 657,  922,  22.60467105,  113.94473308,  0.042300,  0.068300,  0.044600,  0.047850,  0.026000,   0.035154,  0.295870
 658,  922,  22.60467105,  113.94500257,  0.042700,  0.067800,  0.043800,  0.046400,  0.026450,   0.028825,  0.273850
 659,  922,  22.60467105,  113.94527206,  0.042100,  0.064100,  0.043900,  0.039900,  0.014800,  -0.047733,  0.458867
 660,  922,  22.60467105,  113.94554155,  0.042100,  0.064100,  0.043900,  0.039900,  0.014800,  -0.047733,  0.458867
 647,  923,  22.60440156,  113.94203818,  0.033850,  0.055600,  0.034250,  0.041900,  0.016500,   0.100460,  0.434932
 648,  923,  22.60440156,  113.94230767,  0.034100,  0.055250,  0.034200,  0.039700,  0.016600,   0.074425,  0.410302
 649,  923,  22.60440156,  113.94257716,  0.033050,  0.055400,  0.034250,  0.038650,  0.014950,   0.060357,  0.442164
 650,  923,  22.60440156,  113.94284665,  0.033400,  0.055400,  0.034250,  0.038900,  0.014850,   0.063568,  0.447442
